"uzemi_txt";"uzemi_txt_orp_praha";"men";"women";"0_9";"10_19";"20_29";"30_39";"40_49";"50_59";"100_plus"
Praha-Běchovice;Praha 21;1277;1137;293;258;202;344;476;304;0
Praha-Benice;Praha 22;356;373;99;86;45;92;133;110;0
Praha-Březiněves;Praha 8;910;911;279;251;136;243;384;225;0
Praha-Čakovice;Praha 18;5856;6128;1722;1409;1090;1945;2495;1289;0
Praha-Ďáblice;Praha 8;1868;1882;344;518;422;394;719;551;0
Praha-Dolní Chabry;Praha 8;2509;2526;713;573;512;740;923;589;1
Praha-Dolní Měcholupy;Praha 15;2032;2100;600;396;573;820;725;393;0
Praha-Dolní Počernice;Praha 14;1419;1383;427;316;203;399;539;283;0
Praha-Dubeč;Praha 15;2077;2098;564;521;322;568;865;474;0
Praha-Klánovice;Praha 21;1740;1771;381;463;338;373;592;496;0
Praha-Koloděje;Praha 21;821;805;181;231;121;199;294;235;0
Praha-Kolovraty;Praha 22;1905;2039;549;603;296;482;823;452;0
Praha-Královice;Praha 22;231;207;56;60;35;56;83;48;0
Praha-Křeslice;Praha 11;585;588;119;162;118;107;211;201;0
Praha-Kunratice;Praha 4;4891;5200;1002;1323;1726;1134;1608;1222;3
Praha-Libuš;Praha 12;4892;5145;1237;1035;1108;1548;1618;1354;1
Praha-Lipence;Praha 16;1511;1459;362;386;253;388;549;414;0
Praha-Lochkov;Praha 16;428;446;122;100;66;150;154;100;0
Praha-Lysolaje;Praha 6;746;738;172;162;165;245;244;181;0
Praha-Nebušice;Praha 6;1362;1372;297;401;244;257;506;371;1
Praha-Nedvězí;Praha 22;184;182;46;42;23;42;75;56;0
Praha-Petrovice;Praha 15;2795;2958;655;552;527;890;913;872;0
Praha-Přední Kopanina;Praha 6;312;316;74;57;56;89;113;98;0
Praha-Řeporyje;Praha 13;3088;2987;798;607;761;1038;1085;755;1
Praha-Satalice;Praha 19;1226;1162;229;351;222;259;484;360;0
Praha-Slivenec;Praha 5;1977;2022;530;483;310;465;748;555;0
Praha-Suchdol;Praha 6;3375;3464;693;748;929;895;1167;789;0
Praha-Šeberov;Praha 11;1561;1618;352;344;317;373;520;461;0
Praha-Štěrboholy;Praha 15;1248;1216;345;263;257;381;516;292;0
Praha-Troja;Praha 7;724;744;188;173;149;188;261;204;0
Praha-Újezd;Praha 11;1847;1982;512;498;365;595;746;471;1
Praha-Velká Chuchle;Praha 16;1462;1365;336;328;257;404;544;387;0
Praha-Vinoř;Praha 19;2230;2298;642;536;390;640;992;498;0
Praha-Zbraslav;Praha 16;4896;5244;1096;1157;950;1328;1937;1284;1
Praha-Zličín;Praha 17;4142;4256;1118;703;1144;1824;1488;833;0
Praha 1;Praha 1;11824;11143;1769;1745;3779;3897;3692;2935;4
Praha 10;Praha 10;54576;59801;11197;8676;14993;20438;18296;12420;17
Praha 11;Praha 11;34446;37656;7150;6213;6486;10367;12168;7309;8
Praha 12;Praha 12;27336;29255;6338;5054;5084;9169;9526;5778;4
Praha 13;Praha 13;29320;30869;6538;5465;7139;10303;9573;8419;3
Praha 14;Praha 14;23436;23578;5013;4492;5850;7870;8400;6463;3
Praha 15;Praha 15;16969;18198;4229;3130;3762;6165;6185;3649;3
Praha 16;Praha 16;4247;4215;951;875;728;1234;1427;1152;0
Praha 17;Praha 17;10815;11646;2333;2112;2238;3404;3636;3082;1
Praha 18;Praha 18;10672;11030;2865;1911;2662;4424;4011;2051;1
Praha 19;Praha 19;3545;3671;986;791;668;1116;1428;785;0
Praha 2;Praha 2;22702;22703;3951;3405;8174;8739;7131;4934;4
Praha 20;Praha 20;7558;7745;1611;1597;1546;2144;2672;2163;3
Praha 21;Praha 21;5175;5254;1204;1349;845;1271;1957;1322;0
Praha 22;Praha 22;6824;7079;2125;1475;1551;2643;2654;1422;0
Praha 3;Praha 3;36357;37950;6803;5141;12775;15038;11509;7815;9
Praha 4;Praha 4;63172;67785;12271;10154;17000;22216;20305;15273;8
Praha 5;Praha 5;43427;45580;9469;7599;12658;16094;14522;10396;8
Praha 6;Praha 6;49974;53280;10991;9075;14037;16490;16094;11028;13
Praha 7;Praha 7;21901;22541;4811;3284;6807;9468;7558;4413;4
Praha 8;Praha 8;50412;54509;9937;8776;13001;17026;17890;11187;13
Praha 9;Praha 9;30278;32373;7025;5120;8547;12154;10963;6559;3
